Name,Components,Type,Category,Description,
hw,field,accesstype,hw access,Design’s ability to sample/update a field.,
hwclr,field,"boolean, instance reference",hw access,Hardware clear.,
hwenable,field,instance reference,hw access,"Determines which bits may be updated after any write enables, hard- ware clears/sets or counter increment has been performed. Bits that are set to 1 will be updated.",
hwmask,field,instance reference,hw access,"Determines which bits may be updated after any write enables, hard- ware clears/sets or counter increment has been performed. Bits that are set to 1 will not be updated.",
hwset,field,"boolean, instance reference",hw access,Hardware set.,
incr,field,instance reference,counter,"References the counter’s increment signal. Use to actually increment the counter, i.e, the actual counter increment is controlled by another component or signal (active high).",
incrsaturate,field,"boolean, bit, instance reference",counter,Indicates the counter saturates in the incrementing direction.,
incrthreshold,field,"boolean, bit, instance reference",counter,Indicates the counter has a threshold in the incrementing direction.,
incrvalue,field,"bit, instance reference",counter,Increment counter by specified value.,
incrwidth,field,longint unsigned,counter,Width of the interface to hardware to control incrementing the counter externally.,
intr,field,boolean,interrupt,"Interrupt, part of interrupt logic for a register.",
ispresent,ALL,boolean,none,Used to configure the activation of component instances. Setting ``ispresent`` to ``false`` causes the given component instance to be removed from the final specification.,
littleendian,addrmap,boolean,none,Uses little-endian architecture in the address map.,
lsb0,addrmap,boolean,none,Specifies register bit-fields in an address map are defined as ``N:0`` versus ``0:N``. This property affects all fields in an address map. This is the default.,
mask,field,instance reference,interrupt,"Defines an interrupt mask (the inverse of ``enable``); i.e., which bits in an interrupt field are not used to assert an interrupt.",
mementries,mem,longint unsigned,none,The number of memory entries.,
memwidth,mem,longint unsigned,none,The memory entry bit width.,
msb0,addrmap,boolean,none,Specifies register bit-fields in an address map are defined as ``0:N`` versus ``N:0``. This property affects all fields in an address map.,
name,ALL,string,doc,Specifies a more descriptive name,
next,field,instance reference,misc,The next value of the field, the D-input for flip-flops.
onread,field,onreadtype,sw access,Read side-effect.,
onwrite,field,onwritetype,sw access,Write side-effect.,
ored,field,boolean,hw access,Indicates an output signal shall be generated. Logical OR of all bits in field.,
overflow,field,boolean,counter,Indicates an output signal shall be generated. Asserted when counter overflows or wraps.,
paritycheck,field,boolean,misc,Indicates whether this field is to be checked by parity.,
precedence,field,precedencetype,misc,Controls whether precedence is granted to hardware (hw) or software (sw) when contention occurs.,
rclr,field,boolean,sw access,Clear on read,
regwidth,reg,longint unsigned,none,Specifies the bit-width of the register,
reset,field,"bit, instance reference",misc,The reset value for the field when resetsignal is asserted.,
resetsignal,field,instance reference,misc,Reference to the signal used to reset the field,
rset,field,boolean,sw access,Set on read,
rsvdset,addrmap,boolean,none,"The read value of all fields not explicitly defined is set to 1 if ``rsvdset`` is True; otherwise, it is set to 0.",
rsvdsetX,addrmap,boolean,none,The read value of all fields not explicitly defined is unknown if ``rsvdsetX`` is True.,
saturate,field,"boolean, bit, instance reference",counter,This is an alias of ``incrsaturate``.,
shared,reg,boolean,none,Defines a register as being shared in different address maps.,
sharedextbus,"addrmap, regfile",boolean,none,Forces all external registers to share a common bus.,
signalwidth,signal,longint unsigned,none,Width of the signal.,
singlepulse,field,boolean,sw access,The field asserts for one cycle when written 1 and then clears back to 0 on the next cycle. This creates a single-cycle pulse on the hardware interface.,
sticky,field,boolean,interrupt,"Defines the entire field as sticky; i.e., the value of the associated interrupt field shall be locked until cleared by software (write or clear on read).",
stickybit,field,boolean,interrupt,"Defines each bit in a field as sticky (the default); i.e., the value of each bit in the associated interrupt field shall be locked until the individual bits are cleared by software (write or clear on read).",
sw,"field, mem",accesstype,sw access,Programmer’s ability to read/write a field.,
swacc,field,boolean,sw access,Indicates an output signal shall be generated. Assert when field is software accessed.,
swmod,field,boolean,sw access,Indicates an output signal shall be generated. Assert when field is modified by software (written or read with a set or clear side effect).,
swwe,field,"boolean, bit, instance reference",sw access,Software write-enable. active high.,
swwel,field,"boolean, bit, instance reference",sw access,Software write-enable. active low.,
sync,signal,boolean,none,Signal is synchronous to the clock of the component.,
threshold,field,"boolean, bit, instance reference",counter,This is an alias of ``incrthreshold``.,
underflow,field,boolean,counter,Indicates an output signal shall be generated. Asserted  when counter underflows or wraps.,
we,field,"boolean, instance reference",hw access,Write-enable (active high).,
wel,field,"boolean, instance reference",hw access,Write-enable (active low).,
woclr,field,boolean,sw access,Write one to clear,
woset,field,boolean,sw access,Write one to set,
xored,field,boolean,hw access,Indicates an output signal shall be generated. Logical XOR of all bits in field.,
